setting,registered_in,readers,status
heading_5_line_height,"plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\block-editor.php | themes/aureon\inc\css-output.php",CONNECTED
heading_5_transform,"plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\block-editor.php | themes/aureon\inc\css-output.php",CONNECTED
heading_5_weight,"plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\block-editor.php | themes/aureon\inc\css-output.php",CONNECTED
heading_6_font_size,"plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\block-editor.php | themes/aureon\inc\css-output.php",CONNECTED
heading_6_line_height,"plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\block-editor.php | themes/aureon\inc\css-output.php",CONNECTED
heading_6_transform,"plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\block-editor.php | themes/aureon\inc\css-output.php",CONNECTED
heading_6_weight,"plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\block-editor.php | themes/aureon\inc\css-output.php",CONNECTED
hide_tagline,"themes/aureon\inc\customizer.php","themes/aureon\inc\structure\header.php | themes/aureon\inc\theme-functions.php | plugins/aureon-studio\elements\class-elements-helper.php",CONNECTED
icons,"themes/aureon\inc\customizer.php","themes/aureon\inc\customizer.php | themes/aureon\inc\deprecated.php | themes/aureon\inc\general.php | themes/aureon\inc\plugin-compat.php | themes/aureon\inc\structure\navigation.php | themes/aureon\inc\theme-functions.php | plugins/aureon-studio\blog\functions\aureon-blog.php | plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php | plugins/aureon-studio\secondary-nav\functions\functions.php | plugins/aureon-studio\woocommerce\functions\functions.php",CONNECTED
infinite_scroll,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\aureon-blog.php | plugins/aureon-studio\blog\functions\migrate.php | plugins/aureon-studio\elements\class-block.php | plugins/aureon-studio\inc\deprecated.php | plugins/aureon-studio\library\customizer\active-callbacks.php",CONNECTED
infinite_scroll_button,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\aureon-blog.php | plugins/aureon-studio\blog\functions\migrate.php | plugins/aureon-studio\library\customizer\active-callbacks.php",CONNECTED
inline_logo_site_branding,"themes/aureon\inc\customizer.php","themes/aureon\inc\structure\header.php | themes/aureon\inc\theme-functions.php",CONNECTED
layout_setting,"themes/aureon\inc\customizer.php","themes/aureon\inc\block-editor.php | themes/aureon\inc\theme-functions.php",CONNECTED
left_sidebar_width,"plugins/aureon-studio\spacing\functions\customizer\sidebar-spacing.php","plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
link_color,"themes/aureon\inc\customizer\fields\body.php","themes/aureon\inc\block-editor.php | themes/aureon\inc\css-output.php | plugins/aureon-studio\elements\class-hero.php | plugins/aureon-studio\page-header\functions\functions.php",CONNECTED
link_color_hover,"themes/aureon\inc\customizer\fields\body.php","themes/aureon\inc\block-editor.php | themes/aureon\inc\css-output.php | plugins/aureon-studio\elements\class-hero.php | plugins/aureon-studio\page-header\functions\functions.php",CONNECTED
link_color_visited,"themes/aureon\inc\customizer\fields\body.php","themes/aureon\inc\css-output.php | themes/aureon\inc\customizer\fields\body.php",CONNECTED
logo,"themes/aureon\inc\customizer.php","themes/aureon\inc\class-theme-update.php | themes/aureon\inc\structure\header.php | plugins/aureon-studio\page-header\functions\functions.php | plugins/aureon-studio\page-header\functions\metabox.php",CONNECTED
logo_width,"themes/aureon\inc\customizer.php","themes/aureon\inc\css-output.php",CONNECTED
masonry,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\columns.php | plugins/aureon-studio\blog\functions\migrate.php | plugins/aureon-studio\inc\deprecated.php | plugins/aureon-studio\library\customizer\active-callbacks.php",CONNECTED
masonry_load_more,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\aureon-blog.php",CONNECTED
masonry_loading,"plugins/aureon-studio\blog\functions\customizer.php","plugins/aureon-studio\blog\functions\aureon-blog.php",CONNECTED
menu_item,"plugins/aureon-studio\spacing\functions\customizer\navigation-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php",CONNECTED
