Product ID,Title,Handle,Vendor,Product Type,Published,Created,Updated,Tags,Total Variants,Total Images,Price Range,In Stock
"=""8038327025754""",Women's Marled Sock | Timber,womens-sodello-marled-sock-timber,Thursday Boots - Accessories,Socks,7/28/2026,7/24/2026,8/8/2026,accessories; accessory-full; all:All; apparel:Sodello Socks; bf2020-100; BIS; category:Socks; color:Brown; credit_fee:500; discount:1400; exchange_fee:500; gender:Unisex; group:Apparel; gwp-eligible; klaviyo:Women; live_product; model:Sodello Marled Socks; newsocks:ClassicCrewSocks3; pf-gender:Unisex; pf-status:active; pf-style:Socks; pf-type:Accessories; product-switcher; recurate-hide; refund_fee: 500; retail-sync; single-sock; socks; thumb-groups:womens-marled-sock;womens-marled-sock-bundle; thumbnails:womens-marled-sock; YGroup_sodello-womens-marled-sock; yotpo-reviews,1,2,$4100 - $4100,Yes
"=""8037062770778""",Women's Marled Sock | Harvest,womens-sodello-marled-sock-harvest,Thursday Boots - Accessories,Socks,7/28/2026,7/24/2026,8/8/2026,accessories; accessory-full; all:All; apparel:Sodello Socks; bf2020-100; BIS; category:Socks; color:Tan; credit_fee:500; discount:1400; exchange_fee:500; gender:Unisex; group:Apparel; gwp-eligible; klaviyo:Women; live_product; model:Sodello Marled Socks; newsocks:ClassicCrewSocks3; pf-gender:Unisex; pf-status:active; pf-style:Socks; pf-type:Accessories; product-switcher; recurate-hide; refund_fee: 500; retail-sync; single-sock; socks; thumb-groups:womens-marled-sock;womens-marled-sock-bundle; thumbnails:womens-marled-sock; YGroup_sodello-womens-marled-sock; yotpo-reviews,1,2,$4100 - $4100,Yes
"=""8037058183258""",Women's Marled Sock | Black,womens-sodello-marled-sock-black,Thursday Boots - Accessories,Socks,7/28/2026,7/24/2026,8/8/2026,accessories; accessory-full; all:All; apparel:Sodello Socks; bf2020-100; BIS; category:Socks; color:Black; credit_fee:500; discount:1400; exchange_fee:500; gender:Unisex; group:Apparel; gwp-eligible; klaviyo:Women; live_product; model:Sodello Marled Socks; newsocks:ClassicCrewSocks2; pf-gender:Unisex; pf-status:active; pf-style:Socks; pf-type:Accessories; product-switcher; recurate-hide; refund_fee: 500; retail-sync; single-sock; socks; thumb-groups:womens-marled-sock;womens-marled-sock-bundle; thumbnails:womens-marled-sock; YGroup_sodello-womens-marled-sock; yotpo-reviews,1,2,$4100 - $4100,Yes
"=""8024316805210""",Women’s Ruffle Rib Quarter Sock | Studio 4-Pack,womens-ruffle-rib-quarter-sock-studio-4-pack,Thursday Boots - Accessories,Socks,7/17/2026,7/17/2026,8/8/2026,accessory-full; BIS; bundle-item; color:Black; credit_fee:500; exchange_fee:500; FinalSale; gender:Women's; keyword:Black; klaviyo:Women; material:Cotton; model:Ruffle Rib Quarter Sock; pf-gender:Female; pf-status:active; pf-style:Socks; pf-type:Accessories; product-switcher; recurate-hide; refund_fee: 500; socks; thumb-groups:womens-ruffle-rib-quarter-sock;womens-ruffle-rib-quarter-sock-bundles; thumbnails:womens-ruffle-rib-quarter-sock-bundles; virtual-bundle; YGroup_womens-ruffle-rib-quarter-sock-bundles,1,1,$13200 - $13200,No
"=""8024285053018""",Women’s Ruffle Rib Quarter Sock | White x Black Polka Dot,womens-ruffle-rib-quarter-sock-white-black-polkadot,Thursday Boots - Accessories,Socks,7/17/2026,7/17/2026,8/8/2026,accessory-full; bf2020-100; BIS; category:Socks; color:White; credit_fee:500; discount:1000; exchange_fee:500; gender:Women's; group:Apparel; gwp-eligible; keyword:Black; klaviyo:Women; material:Cotton; model:Ruffle Rib Quarter Sock; newsocks:Ruffle Rib Quarter; pf-gender:Female; pf-status:active; pf-style:Socks; pf-type:Accessories; product-switcher; recurate-hide; refund_fee: 500; single-sock; socks; thumb-groups:womens-ruffle-rib-quarter-sock;womens-ruffle-rib-quarter-sock-bundles; thumbnails:womens-ruffle-rib-quarter-sock; YGroup_womens-ruffle-rib-quarter-sock,1,2,$4100 - $4100,Yes
"=""8024271913050""",Women’s Ruffle Rib Quarter Sock | White x Rose Embroidery,womens-ruffle-rib-quarter-sock-white-rose-embroidery,Thursday Boots - Accessories,Socks,7/17/2026,7/17/2026,8/8/2026,accessory-full; bf2020-100; BIS; category:Socks; color:White; credit_fee:500; discount:1000; exchange_fee:500; gender:Women's; group:Apparel; gwp-eligible; keyword:Black; klaviyo:Women; material:Cotton; model:Ruffle Rib Quarter Sock; newsocks:Ruffle Rib Quarter; pf-gender:Female; pf-status:active; pf-style:Socks; pf-type:Accessories; product-switcher; recurate-hide; refund_fee: 500; single-sock; socks; thumb-groups:womens-ruffle-rib-quarter-sock;womens-ruffle-rib-quarter-sock-bundles; thumbnails:womens-ruffle-rib-quarter-sock; YGroup_womens-ruffle-rib-quarter-sock,1,2,$4100 - $4100,Yes
"=""7343782002778""",Women's Beanie | Heather Grey,womens-beanie-heather-grey,Thursday Boots - Accessories,Hats,7/9/2026,11/27/2024,8/8/2026,accessories; all:All; BIS; category:Beanies; color:Grey; credit_fee:500; exchange_fee:500; group:Apparel; gwp-eligible; klaviyo:Women; live_product; material:Acrylic; model:Thursday Beanie; pf-gender:Unisex; pf-status:active; pf-style:Hat; pf-type:Accessories; product-switcher; recurate-hide; refund_fee: 500; retail-sync; thumbnails:womens-beanies; YGroup_watch-cap,1,5,$7200 - $7200,Yes
"=""7343780921434""",Women's Beanie | Black,womens-beanie-black,Thursday Boots - Accessories,Hats,7/9/2026,11/27/2024,8/8/2026,accessories; all:All; BIS; category:Beanies; color:Black; credit_fee:500; exchange_fee:500; group:Apparel; gwp-eligible; klaviyo:Women; live_product; material:Acrylic; model:Thursday Beanie; pf-gender:Unisex; pf-status:active; pf-style:Hat; pf-type:Accessories; product-switcher; recurate-hide; refund_fee: 500; retail-sync; thumbnails:womens-beanies; YGroup_mens-watch-cap; YGroup_watch-cap,1,5,$7200 - $7200,Yes
"=""7336629600346""",Men's Beanie | Heather Grey,mens-beanie-heather-grey,Thursday Boots - Accessories,Hats,7/9/2026,11/16/2024,8/8/2026,accessories; all:All; BIS; category:Beanies; color:Grey; credit_fee:500; exchange_fee:500; group:Apparel; gwp-eligible; klaviyo:Men; live_product; material:Acrylic; model:Thursday Beanie; pf-gender:Unisex; pf-status:active; pf-style:Hat; pf-type:Accessories; product-switcher; recurate-hide; refund_fee: 500; retail-sync; thumbnails:mens-beanie; YGroup_watch-cap,1,6,$7200 - $7200,Yes
"=""7336628715610""",Men's Beanie | Black,mens-beanie-black,Thursday Boots - Accessories,Hats,7/9/2026,11/16/2024,8/8/2026,accessories; all:All; BIS; category:Beanies; color:Black; credit_fee:500; exchange_fee:500; group:Apparel; gwp-eligible; klaviyo:Men; live_product; material:Acrylic; model:Thursday Beanie; pf-gender:Unisex; pf-status:active; pf-style:Hat; pf-type:Accessories; product-switcher; recurate-hide; refund_fee: 500; retail-sync; thumbnails:mens-beanie; YGroup_watch-cap,1,6,$7200 - $7200,Yes
